B01003_001E,B02001_002E,B02001_003E,B03003_003E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25003_001E,B25003_002E,B25003_003E,B25002_001E,B25002_003E,B19013_001E,B25064_001E,B05002_013E,B08301_001E,B08301_019E,NAME,state,county,tract,block group,ca_id,ca_name,year,geoid_bg,share_white,share_black,share_hispanic,ba_plus_total,share_ba_plus,renter_share,homeownership_rate,vacancy_rate,med_income,med_income_log,med_rent,med_rent_log,foreign_born_share,walk_to_work_share
1184,57.0,1039.0,145.0,843,21.0,22.0,,,544,163,381.0,600,56.0,38198.0,1075.0,,489,43.0,Block Group 3; Census Tract 2504; Cook County; Illinois,17,031,250400,3,25,Austin,2022,170312504003,0.04814189189189189,0.8775337837837838,0.12246621621621621,43.0,0.051008303677342826,0.7003676470588235,0.29963235294117646,0.09333333333333334,38198.0,10.550564616241545,1075.0,6.98100574072173,,0.08793456032719836
1116,,983.0,133.0,770,40.0,65.0,,,393,215,178.0,466,73.0,54364.0,1229.0,,531,,Block Group 4; Census Tract 2504; Cook County; Illinois,17,031,250400,4,25,Austin,2022,170312504004,,0.8808243727598566,0.11917562724014337,105.0,0.13636363636363635,0.4529262086513995,0.5470737913486005,0.15665236051502146,54364.0,10.903475843431849,1229.0,7.114769448366463,,
1461,98.0,1200.0,239.0,1200,71.0,,34.0,,605,311,294.0,694,89.0,56505.0,1198.0,,686,,Block Group 5; Census Tract 2504; Cook County; Illinois,17,031,250400,5,25,Austin,2022,170312504005,0.06707734428473648,0.8213552361396304,0.16358658453114305,105.0,0.0875,0.4859504132231405,0.5140495867768595,0.1282420749279539,56505.0,10.94210210618654,1198.0,7.089243155027514,,
831,300.0,466.0,227.0,650,109.0,116.0,68.0,86.0,360,333,27.0,369,9.0,110227.0,,,433,,Block Group 1; Census Tract 2505; Cook County; Illinois,17,031,250500,1,25,Austin,2022,170312505001,0.36101083032490977,0.5607701564380265,0.273164861612515,379.0,0.583076923076923,0.075,0.925,0.024390243902439025,110227.0,11.610306226911783,,,,
860,404.0,328.0,128.0,799,273.0,116.0,,,432,272,160.0,506,74.0,39679.0,1626.0,,461,,Block Group 2; Census Tract 2505; Cook County; Illinois,17,031,250500,2,25,Austin,2022,170312505002,0.4697674418604651,0.3813953488372093,0.14883720930232558,389.0,0.48685857321652065,0.37037037037037035,0.6296296296296297,0.14624505928853754,39679.0,10.58860256139881,1626.0,7.394493107219038,,
914,535.0,23.0,337.0,668,98.0,243.0,,20.0,415,403,12.0,415,,116319.0,,,475,,Block Group 3; Census Tract 2505; Cook County; Illinois,17,031,250500,3,25,Austin,2022,170312505003,0.5853391684901532,0.02516411378555799,0.3687089715536105,361.0,0.5404191616766467,0.02891566265060241,0.9710843373493976,,116319.0,11.664100292767346,,,,
1346,265.0,501.0,429.0,851,140.0,170.0,,,408,375,33.0,448,40.0,161288.0,,,511,,Block Group 4; Census Tract 2505; Cook County; Illinois,17,031,250500,4,25,Austin,2022,170312505004,0.19687964338781574,0.3722139673105498,0.3187221396731055,310.0,0.36427732079905994,0.08088235294117647,0.9191176470588235,0.08928571428571429,161288.0,11.990953065879609,,,,
1248,793.0,72.0,579.0,883,298.0,251.0,20.0,,419,399,20.0,431,12.0,153320.0,,,866,,Block Group 5; Census Tract 2505; Cook County; Illinois,17,031,250500,5,25,Austin,2022,170312505005,0.6354166666666666,0.057692307692307696,0.4639423076923077,569.0,0.6443941109852774,0.0477326968973747,0.9522673031026253,0.027842227378190254,153320.0,11.94028904177951,,,,
695,383.0,159.0,126.0,562,231.0,57.0,12.0,7.0,394,219,175.0,427,33.0,55735.0,1104.0,,341,,Block Group 6; Census Tract 2505; Cook County; Illinois,17,031,250500,6,25,Austin,2022,170312505006,0.5510791366906475,0.22877697841726619,0.18129496402877698,307.0,0.5462633451957295,0.44416243654822335,0.5558375634517766,0.07728337236533958,55735.0,10.928381536709955,1104.0,7.007600613951853,,
1009,431.0,108.0,567.0,696,112.0,140.0,,64.0,377,300,77.0,463,86.0,149728.0,871.0,,521,,Block Group 7; Census Tract 2505; Cook County; Illinois,17,031,250500,7,25,Austin,2022,170312505007,0.4271555996035679,0.10703666997026759,0.5619425173439049,316.0,0.4540229885057471,0.20424403183023873,0.7957559681697612,0.1857451403887689,149728.0,11.916582272421156,871.0,6.77078942390898,,
1188,12.0,985.0,216.0,795,86.0,123.0,,,317,190,127.0,337,20.0,81917.0,,,473,7.0,Block Group 1; Census Tract 2506; Cook County; Illinois,17,031,250600,1,25,Austin,2022,170312506001,0.010101010101010102,0.8291245791245792,0.18181818181818182,209.0,0.2628930817610063,0.40063091482649843,0.5993690851735016,0.05934718100890208,81917.0,11.313474025912807,,,,0.014799154334038054
1143,171.0,959.0,178.0,607,61.0,5.0,40.0,,285,195,90.0,337,52.0,79698.0,1160.0,,367,,Block Group 2; Census Tract 2506; Cook County; Illinois,17,031,250600,2,25,Austin,2022,170312506002,0.14960629921259844,0.8390201224846894,0.1557305336832896,106.0,0.17462932454695224,0.3157894736842105,0.6842105263157895,0.1543026706231454,79698.0,11.286012317648149,1160.0,7.057036981697891,,
896,,896.0,11.0,619,61.0,44.0,,20.0,312,248,64.0,375,63.0,,1183.0,,321,,Block Group 3; Census Tract 2506; Cook County; Illinois,17,031,250600,3,25,Austin,2022,170312506003,,1.0,0.012276785714285714,125.0,0.20193861066235863,0.20512820512820512,0.7948717948717948,0.168,,,1183.0,7.076653815443951,,
1315,212.0,802.0,562.0,873,22.0,17.0,,15.0,376,326,50.0,384,8.0,61500.0,,,467,,Block Group 4; Census Tract 2506; Cook County; Illinois,17,031,250600,4,25,Austin,2022,170312506004,0.1612167300380228,0.6098859315589353,0.42737642585551333,54.0,0.061855670103092786,0.13297872340425532,0.8670212765957447,0.020833333333333332,61500.0,11.026808713825016,,,,
755,,515.0,221.0,544,,,,23.0,304,128,176.0,423,119.0,,,,237,,Block Group 1; Census Tract 2507; Cook County; Illinois,17,031,250700,1,25,Austin,2022,170312507001,,0.6821192052980133,0.29271523178807946,23.0,0.042279411764705885,0.5789473684210527,0.42105263157894735,0.28132387706855794,,,,,,
1100,500.0,438.0,611.0,425,,,,,292,24,268.0,325,33.0,57549.0,1298.0,,404,50.0,Block Group 2; Census Tract 2507; Cook County; Illinois,17,031,250700,2,25,Austin,2022,170312507002,0.45454545454545453,0.3981818181818182,0.5554545454545454,0.0,0.0,0.9178082191780822,0.0821917808219178,0.10153846153846154,57549.0,10.960409414150028,1298.0,7.1693500166706,,0.12376237623762376
1485,23.0,1299.0,163.0,974,,53.0,,23.0,483,130,353.0,524,41.0,43560.0,1227.0,,572,,Block Group 3; Census Tract 2507; Cook County; Illinois,17,031,250700,3,25,Austin,2022,170312507003,0.015488215488215488,0.8747474747474747,0.10976430976430976,76.0,0.07802874743326489,0.7308488612836439,0.2691511387163561,0.07824427480916031,43560.0,10.681917533624532,1227.0,7.113142108707088,,
1711,86.0,1369.0,212.0,1119,,38.0,27.0,,661,134,527.0,702,41.0,50927.0,954.0,,663,,Block Group 4; Census Tract 2507; Cook County; Illinois,17,031,250700,4,25,Austin,2022,170312507004,0.05026300409117475,0.8001168907071888,0.12390414962010521,65.0,0.0580875781948168,0.7972768532526475,0.2027231467473525,0.0584045584045584,50927.0,10.838168149521874,954.0,6.86171134048073,,
